race_id,date,venue,race_no,surface,distance,going,horse_ratings,prize,race_class,sec_time,win_combination
1270,1/13/99,HV,8,0,1650,GOOD TO FIRM,80-60,850000,3,27.97,11
1288,1/20/99,ST,7,1,1200,GOOD,100-80,1150000,2,23.23,9
1289,1/20/99,ST,8,1,1650,GOOD,80-60,850000,3,28.5,12
1290,1/23/99,ST,1,0,1400,GOOD TO YIELDING,40-0,485000,5,13.44,1
1309,1/31/99,ST,2,1,1200,FAST,60-40,625000,4,23.77,5
1314,1/31/99,ST,7,0,1400,GOOD,60-40,625000,4,13.73,4
1315,1/31/99,ST,8,1,1200,FAST,80-60,850000,3,23.47,7
1316,1/31/99,ST,9,0,1400,GOOD,80-60,850000,3,13.81,10
1317,1/31/99,ST,10,0,1600,GOOD,80-60,850000,3,24.53,14
1318,1/31/99,ST,11,0,1400,GOOD,100-80,1150000,2,13.81,14
1325,2/3/99,HV,7,0,1800,YIELDING,80-60,850000,3,13.75,3
1326,2/3/99,HV,8,0,1800,YIELDING,100-80,1150000,2,13.58,9
1327,2/7/99,ST,1,0,1000,GOOD TO YIELDING,60-40,625000,4,12.98,10
1328,2/7/99,ST,2,0,1200,GOOD TO YIELDING,60-40,625000,4,23.73,7
1340,2/10/99,HV,4,0,1200,GOOD TO FIRM,60-40,625000,4,23.8,5
1346,2/14/99,ST,2,1,1200,GOOD,40-10,485000,5,23.83,9
1347,2/14/99,ST,3,0,1200,YIELDING,60-40,625000,4,24.19,13
1348,2/14/99,ST,4,0,1200,YIELDING,60-40,625000,4,24.3,2
1349,2/14/99,ST,5,0,2000,YIELDING,80-60,850000,3,26.36,12
1350,2/14/99,ST,6,1,1650,WET FAST,60-40,625000,4,27.75,3
1351,2/14/99,ST,7,0,1400,YIELDING TO SOFT,65-40,625000,4,13.59,6
1353,2/14/99,ST,9,0,1200,SOFT,80-60,850000,3,24.5,2
1360,2/17/99,HV,7,0,1200,GOOD TO YIELDING,105-80,1400000,1,23.66,3
1361,2/17/99,HV,8,0,1200,GOOD TO YIELDING,80-60,850000,3,24.05,8
1362,2/21/99,ST,1,0,1200,GOOD,60-40,625000,4,23.86,11
1363,2/21/99,ST,2,1,1800,GOOD,40-0,485000,5,13.78,7
1380,2/24/99,HV,8,0,1800,GOOD TO YIELDING,105-80,1400000,1,13.67,2
1389,2/27/99,ST,9,0,1400,GOOD,80-60,850000,3,13.7,3
1390,2/27/99,ST,10,0,1600,GOOD,100-80,1150000,2,24.19,11
1392,3/3/99,ST,2,0,1800,GOOD TO YIELDING,40-0,485000,5,13.97,5
1411,3/7/99,HV,10,0,1650,GOOD TO FIRM,100-80,1150000,2,27.16,1
1413,3/14/99,ST,2,0,1200,YIELDING,60-40,625000,4,24.31,4
1414,3/14/99,ST,3,0,1400,YIELDING,60-40,625000,4,13.81,3
1415,3/14/99,ST,4,1,1650,WET SLOW,40-0,485000,5,28.3,13
1416,3/14/99,ST,5,1,1650,WET SLOW,60-40,625000,4,27.89,6
1417,3/14/99,ST,6,0,1200,YIELDING TO SOFT,60-40,625000,4,24.16,8
1422,3/14/99,ST,11,0,1400,YIELDING TO SOFT,85-60,850000,3,13.58,8
1423,3/18/99,ST,1,0,1000,GOOD,60-40,625000,4,13.38,1
1431,3/18/99,ST,9,0,1400,GOOD,80-60,850000,3,13.69,7
1435,3/21/99,ST,3,0,1600,GOOD TO FIRM,40-0,485000,5,25.11,8
1436,3/21/99,ST,4,1,1200,FAST,60-40,625000,4,23.75,2
1437,3/21/99,ST,5,0,1400,GOOD TO FIRM,60-40,625000,4,13.69,4
1438,3/21/99,ST,6,0,1800,GOOD TO FIRM,60-40,625000,4,13.97,11
1439,3/21/99,ST,7,1,1650,FAST,100-80,1150000,2,28.09,8
1440,3/21/99,ST,8,0,1600,GOOD TO FIRM,80-60,850000,3,24.88,4
1441,3/21/99,ST,9,1,1200,FAST,80-60,850000,3,24.02,4
1442,3/21/99,ST,10,0,1000,GOOD TO FIRM,110-85,1750000,1,13.05,11
1443,3/21/99,ST,11,0,1400,GOOD TO FIRM,80-60,850000,3,13.72,5
1444,3/24/99,HV,1,0,1800,GOOD,40-0,485000,5,13.84,12
1445,3/24/99,HV,2,0,1650,GOOD TO FIRM,60-40,625000,4,27.2,11
1446,3/24/99,HV,3,0,1200,GOOD TO FIRM,65-40,625000,4,23.53,10
1447,3/24/99,HV,4,0,1650,GOOD TO FIRM,60-40,625000,4,27.47,9
1452,3/28/99,ST,1,0,1200,GOOD,60-40,625000,4,24,2
1453,3/28/99,ST,2,0,1200,GOOD,60-40,625000,4,23.92,2
1470,3/31/99,HV,8,0,1200,GOOD TO FIRM,105-80,1400000,1,23.19,4
1474,5/23/99,ST,4,0,1200,GOOD,120-95,1750000,1,24.53,7
1475,5/23/99,ST,5,0,1400,GOOD,40-15,500000,5,13.75,7
1481,5/26/99,HV,1,0,1000,GOOD,60-40,640000,4,13.05,5
1482,5/26/99,HV,2,0,1200,GOOD,40-15,500000,5,23.72,1
1487,5/26/99,HV,7,0,1650,GOOD,60-40,640000,4,27.56,10
1488,5/26/99,HV,8,0,1000,SOFT,80-60,850000,3,12.75,1
1489,5/30/99,ST,1,0,1000,GOOD,40-15,500000,5,13.58,2
1490,5/30/99,ST,2,0,1400,GOOD,60-40,640000,4,13.95,8
1491,5/30/99,ST,3,0,1000,GOOD TO YIELDING,60-40,640000,4,13.45,1
1492,5/30/99,ST,4,0,1600,GOOD TO YIELDING,40-15,500000,5,25.11,1
1493,5/30/99,ST,5,1,1200,WET SLOW,60-40,640000,4,23.75,5
1494,5/30/99,ST,6,0,1400,GOOD TO YIELDING,60-40,640000,4,13.66,7
1495,5/30/99,ST,7,0,1000,GOOD TO YIELDING,80-60,850000,3,13.08,2
1496,5/30/99,ST,8,1,1200,WET SLOW,85-60,850000,3,23.48,8
1497,5/30/99,ST,9,0,1400,GOOD TO YIELDING,80-60,850000,3,13.77,4
1498,5/30/99,ST,10,0,1400,YIELDING,95-75,1150000,2,13.66,14
1499,6/2/99,HV,1,0,1200,GOOD,60-40,640000,4,23.67,3
1500,6/2/99,HV,2,0,1200,GOOD TO FIRM,60-40,640000,4,23.67,2
1501,6/2/99,HV,3,0,1200,GOOD TO FIRM,40-15,500000,5,23.81,8
1502,6/2/99,HV,4,0,1650,GOOD TO FIRM,60-40,640000,4,27.62,5
1507,6/5/99,ST,1,0,1000,GOOD,60-40,640000,4,13.5,3
1508,6/5/99,ST,2,0,1200,GOOD,60-40,640000,4,24.11,8
1524,6/10/99,HV,8,0,1200,GOOD,80-60,850000,3,23.66,2
1525,6/10/99,HV,9,0,1650,GOOD,100-80,1150000,2,27.8,3
